iter	RMSE
0	0.194947421
1	0.1892346243
2	0.1835409055
3	0.1790156389
4	0.1737031541
5	0.1694291175
6	0.1648797405
7	0.1597034381
8	0.1547940183
9	0.1492880215
10	0.1455558209
11	0.1394297547
12	0.1359440108
13	0.1323102091
14	0.1290586368
15	0.1250567013
16	0.1206380157
17	0.1159908639
18	0.1125111779
19	0.1083990464
20	0.1044815713
21	0.1018695319
22	0.09929682631
23	0.09668165973
24	0.09358246413
25	0.09074293325
26	0.08847435989
27	0.08536829926
28	0.08219687541
29	0.08014195349
30	0.07813840462
31	0.07618494448
32	0.07439422834
33	0.07251405161
34	0.07070120029
35	0.06891536221
36	0.06711422766
37	0.06512172366
38	0.06347792647
39	0.0618238887
40	0.06021606053
41	0.05869749632
42	0.0571742445
43	0.05574488837
44	0.05435126614
45	0.05299248446
46	0.05165695897
47	0.05036553498
48	0.04910639659
49	0.04787873665
50	0.04668176822
51	0.045514724
52	0.04437685588
53	0.04326743447
54	0.04218574859
55	0.04112301357
56	0.04009493821
57	0.03909256474
58	0.03811525061
59	0.03716236933
60	0.03623331008
61	0.03532747732
62	0.03444429037
63	0.0335831831
64	0.03274360351
65	0.03192501341
66	0.03112688806
67	0.03034871585
68	0.02958448904
69	0.0288448768
70	0.02812375487
71	0.02742066099
72	0.02673514446
73	0.02606676583
74	0.02541509668
75	0.02477971925
76	0.02416022626
77	0.0235562206
78	0.02296731507
79	0.02239313219
80	0.02183330387
81	0.02128747127
82	0.02075528448
83	0.02023640236
84	0.01973049229
85	0.01923722998
86	0.01875629922
87	0.01828739173
88	0.01783020693
89	0.01738445175
90	0.01694984045
91	0.01652609444
92	0.01611294207
93	0.01571011851
94	0.01531736554
95	0.0149344314
96	0.01456107061
97	0.01419704384
98	0.01384211774
99	0.01349606479
